;instance_number;best_max_population_size;best_max_offspring;worst_max_population_size;worst_max_offspring
0;1.0;7.0;22.0;50.0;1.0
1;2.0;6.0;24.0;49.0;1.0
2;3.0;9.0;35.0;49.0;1.0
3;4.0;7.0;46.0;48.0;1.0
4;5.0;3.0;37.0;50.0;1.0
5;6.0;4.0;25.0;48.0;1.0
6;7.0;7.0;18.0;48.0;1.0
7;8.0;6.0;25.0;49.0;1.0
8;9.0;5.0;34.0;49.0;1.0
9;10.0;7.0;22.0;50.0;1.0
10;11.0;6.0;40.0;50.0;1.0
11;12.0;6.0;13.0;47.0;1.0
12;13.0;6.0;41.0;49.0;49.0
13;14.0;6.0;16.0;50.0;1.0
14;15.0;5.0;12.0;50.0;1.0
15;16.0;7.0;27.0;49.0;1.0
16;17.0;7.0;34.0;49.0;50.0
17;18.0;5.0;17.0;48.0;1.0
18;19.0;5.0;36.0;47.0;1.0
19;20.0;6.0;9.0;50.0;1.0
20;21.0;8.0;11.0;49.0;50.0
21;22.0;5.0;8.0;48.0;1.0
22;23.0;8.0;22.0;48.0;1.0
23;24.0;8.0;21.0;48.0;1.0
24;25.0;6.0;7.0;49.0;47.0
25;26.0;5.0;37.0;50.0;49.0
26;27.0;6.0;43.0;50.0;1.0
27;28.0;5.0;27.0;49.0;1.0
28;29.0;9.0;44.0;49.0;1.0
29;30.0;4.0;18.0;48.0;49.0
